Model,Test Domain,Dice,F1,Sensitivity,Specificity,Accuracy,AUC-ROC,IoU
Baseline U-Net,source_test,0.8043635555387314,0.8043635505482227,0.770765406811403,0.9866080270613552,0.9684383392333965,0.9777390372465303,0.672749278649801
Baseline U-Net,target_test,0.5444865677809069,0.5444865631465345,0.4285854765506483,0.9901982338499822,0.9547953605651811,0.930410583770832,0.37408556714641655
Baseline U-Net,external_test,0.7055024058873378,0.7055024009700709,0.6250899688776492,0.9879035063254874,0.9603096008300762,0.9436686127417733,0.5450009402071835
