Model,Test Domain,Dice,F1,Sensitivity,Specificity,Accuracy,AUC-ROC,IoU
unet,source_test,0.8043635555387314,0.8043635505482227,0.770765406811403,0.9866080270613552,0.9684383392333964,0.9777390372465304,0.672749278649801
unet,target_test,0.5444865677809069,0.5444865631465345,0.4285854765506483,0.9901982338499822,0.9547953605651812,0.930410583770832,0.3740855671464165
unet,external_test,0.7055024058873378,0.7055024009700709,0.6250899688776492,0.9879035063254874,0.9603096008300762,0.9436686127417732,0.5450009402071835
unetpp,source_test,0.7993672566882493,0.7993672516900822,0.7843125703811109,0.9836366843672616,0.9668575286865216,0.9727775222865314,0.6657883196516232
unetpp,target_test,0.6800488063828337,0.6800488013940575,0.6492511346444289,0.9824957556215064,0.9614887237548784,0.9429658793014812,0.515207539241843
unetpp,external_test,0.7568198663757035,0.7568198613812744,0.7323529338004425,0.9832907078689634,0.9642055511474592,0.9547991026930792,0.6087773170645142
swin_unet,source_test,0.7347936775179097,0.7347936725350103,0.694186207224685,0.9820496912132001,0.9578172683715802,0.942508732340762,0.5807698431955245
swin_unet,target_test,0.6574534582386758,0.6574534532755187,0.6054614220877,0.9840968125429986,0.9602284431457475,0.9337079019889012,0.4897062692337983
swin_unet,external_test,0.7099930244247624,0.7099930194273097,0.6942939041853222,0.9784758091802204,0.956862258911131,0.942457927045587,0.5503792133435275
